status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
Completed successfully,2434.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,688.0,,Nenita Javier,2025-06-15 01:58:00,2025-06-15 02:38:34,2025-06-15,1.0
Completed successfully,1545.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,689.0,,Nenita Javier,2025-06-15 03:39:00,2025-06-15 04:04:45,2025-06-15,3.0
Completed successfully,3059.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,690.0,,Sheila Ofqueria,2025-06-16 05:34:00,2025-06-16 06:24:59,2025-06-16,5.0
Completed successfully,3020.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,691.0,,juvylyn dacara,2025-06-11 03:55:00,2025-06-11 04:45:20,2025-06-11,3.0
Completed successfully,2557.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,692.0,,juvylyn dacara,2025-06-11 05:20:00,2025-06-11 06:02:37,2025-06-11,5.0
Completed successfully,2048.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,693.0,,juvylyn dacara,2025-06-11 06:07:00,2025-06-11 06:41:08,2025-06-11,6.0
Completed successfully,2171.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,694.0,,juvylyn dacara,2025-06-11 06:51:00,2025-06-11 07:27:11,2025-06-11,6.0
Completed successfully,2208.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,695.0,,juvylyn dacara,2025-06-11 07:29:00,2025-06-11 08:05:48,2025-06-11,7.0
Completed successfully,2778.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,697.0,,Juvylyn Dacara,2025-06-12 02:16:00,2025-06-12 03:02:18,2025-06-12,2.0
Completed successfully,2000.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,698.0,,Juvylyn Dacara,2025-06-12 03:14:00,2025-06-12 03:47:20,2025-06-12,3.0
Completed successfully,1958.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,699.0,,Juvylyn Dacara,2025-06-12 04:34:00,2025-06-12 05:06:38,2025-06-12,4.0
Completed successfully,2199.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,700.0,,Juvylyn Dacara,2025-06-12 05:15:00,2025-06-12 05:51:39,2025-06-12,5.0
Completed successfully,2838.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,701.0,,Juvylyn Dacara,2025-06-12 06:17:00,2025-06-12 07:04:18,2025-06-12,6.0
Completed successfully,1753.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,703.0,,Lutchyl Tulabing,2025-06-15 02:23:00,2025-06-15 02:52:13,2025-06-15,2.0
Completed successfully,1539.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,704.0,,Lutchyl Tulabing,2025-06-15 03:40:00,2025-06-15 04:05:39,2025-06-15,3.0
Completed successfully,1425.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,705.0,,juvylyn dacara,2025-06-15 07:41:00,2025-06-15 08:04:45,2025-06-15,7.0
Completed successfully,2118.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,706.0,,juvylyn dacara,2025-06-15 08:15:00,2025-06-15 08:50:18,2025-06-15,8.0
